,Fecha,Tipo de Cambio
0,29/03/2022,19.9942
1,28/03/2022,20.1195
2,27/03/2022,N/E
3,26/03/2022,N/E
4,25/03/2022,19.9577
5,24/03/2022,20.1313
6,23/03/2022,20.1800
7,22/03/2022,20.2782
8,21/03/2022,N/E
9,20/03/2022,N/E
10,19/03/2022,N/E
11,18/03/2022,20.4145
12,17/03/2022,20.5585
13,16/03/2022,20.7035
14,15/03/2022,20.8743
15,14/03/2022,20.8908
16,13/03/2022,N/E
17,12/03/2022,N/E
18,11/03/2022,20.9695
19,10/03/2022,20.9743
20,09/03/2022,20.9677
21,08/03/2022,21.3775
22,07/03/2022,21.1947
23,06/03/2022,N/E
24,05/03/2022,N/E
25,04/03/2022,20.9262
26,03/03/2022,20.7033
27,02/03/2022,20.7193
28,01/03/2022,20.5272
29,28/02/2022,20.4257
30,27/02/2022,N/E
31,26/02/2022,N/E
32,25/02/2022,20.4465
33,24/02/2022,20.6525
34,23/02/2022,20.2435
35,22/02/2022,20.2977
36,21/02/2022,20.2825
37,20/02/2022,N/E
38,19/02/2022,N/E
39,18/02/2022,20.3063
40,17/02/2022,20.2978
41,16/02/2022,20.3335
42,15/02/2022,20.3992
43,14/02/2022,20.4110
44,13/02/2022,N/E
45,12/02/2022,N/E
46,11/02/2022,20.4188
47,10/02/2022,20.4148
48,09/02/2022,20.5008
49,08/02/2022,20.6413
50,07/02/2022,N/E
51,06/02/2022,N/E
52,05/02/2022,N/E
53,04/02/2022,20.7325
54,03/02/2022,20.5562
55,02/02/2022,20.6003
56,01/02/2022,20.5800
57,31/01/2022,20.6352
58,30/01/2022,N/E
59,29/01/2022,N/E
60,28/01/2022,20.8597
61,27/01/2022,20.7383
62,26/01/2022,20.6415
63,25/01/2022,20.6683
64,24/01/2022,20.6308
65,23/01/2022,N/E
66,22/01/2022,N/E
67,21/01/2022,20.4598
68,20/01/2022,20.4507
69,19/01/2022,20.4600
70,18/01/2022,20.4030
71,17/01/2022,20.3002
72,16/01/2022,N/E
73,15/01/2022,N/E
74,14/01/2022,20.3118
75,13/01/2022,20.3607
76,12/01/2022,20.3660
77,11/01/2022,20.3785
78,10/01/2022,20.4453
79,09/01/2022,N/E
80,08/01/2022,N/E
81,07/01/2022,20.4237
82,06/01/2022,20.4588
83,05/01/2022,20.3977
84,04/01/2022,20.4742
85,03/01/2022,20.5890
86,02/01/2022,N/E
87,01/01/2022,N/E
88,31/12/2021,20.4672
89,30/12/2021,20.5157
90,29/12/2021,20.5835
91,28/12/2021,20.5770
92,27/12/2021,20.6828
93,26/12/2021,N/E
94,25/12/2021,N/E
95,24/12/2021,20.6112
96,23/12/2021,20.6582
97,22/12/2021,20.7527
98,21/12/2021,20.7823
99,20/12/2021,20.7363
100,19/12/2021,N/E
101,18/12/2021,N/E
102,17/12/2021,20.7337
103,16/12/2021,20.9238
104,15/12/2021,21.2393
105,14/12/2021,21.1650
106,13/12/2021,20.9383
107,12/12/2021,N/E
108,11/12/2021,N/E
109,10/12/2021,20.8922
110,09/12/2021,21.0328
111,08/12/2021,20.9330
112,07/12/2021,21.0907
113,06/12/2021,21.2047
114,05/12/2021,N/E
115,04/12/2021,N/E
116,03/12/2021,21.4177
117,02/12/2021,21.3033
118,01/12/2021,21.2710
119,30/11/2021,21.4453
120,29/11/2021,21.7333
121,28/11/2021,N/E
122,27/11/2021,N/E
123,26/11/2021,21.8185
124,25/11/2021,21.5462
125,24/11/2021,21.4357
126,23/11/2021,21.2107
127,22/11/2021,20.9632
128,21/11/2021,N/E
129,20/11/2021,N/E
130,19/11/2021,20.8283
131,18/11/2021,20.7628
132,17/11/2021,20.6912
133,16/11/2021,20.8092
134,15/11/2021,N/E
135,14/11/2021,N/E
136,13/11/2021,N/E
137,12/11/2021,20.5072
138,11/11/2021,20.4652
139,10/11/2021,20.4702
140,09/11/2021,20.2833
141,08/11/2021,20.3265
142,07/11/2021,N/E
143,06/11/2021,N/E
144,05/11/2021,20.3925
145,04/11/2021,20.6242
146,03/11/2021,20.8352
147,02/11/2021,N/E
148,01/11/2021,20.8598
149,31/10/2021,N/E
150,30/10/2021,N/E
151,29/10/2021,20.5297
152,28/10/2021,20.3255
153,27/10/2021,20.1930
154,26/10/2021,20.1888
155,25/10/2021,20.1897
156,24/10/2021,N/E
157,23/10/2021,N/E
158,22/10/2021,20.1837
159,21/10/2021,20.2643
160,20/10/2021,20.1850
161,19/10/2021,20.2647
162,18/10/2021,20.3587
163,17/10/2021,N/E
164,16/10/2021,N/E
165,15/10/2021,20.4672
166,14/10/2021,20.6075
167,13/10/2021,20.6827
168,12/10/2021,20.7767
169,11/10/2021,20.8017
170,10/10/2021,N/E
171,09/10/2021,N/E
172,08/10/2021,20.7293
173,07/10/2021,20.6040
174,06/10/2021,20.6947
175,05/10/2021,20.5818
176,04/10/2021,20.5747
177,03/10/2021,N/E
178,02/10/2021,N/E
179,01/10/2021,20.5103
180,30/09/2021,20.5623
181,29/09/2021,20.4977
182,28/09/2021,20.3060
183,27/09/2021,20.1052
184,26/09/2021,N/E
185,25/09/2021,N/E
186,24/09/2021,20.1118
187,23/09/2021,20.0280
188,22/09/2021,20.0328
189,21/09/2021,20.1438
190,20/09/2021,20.1735
191,19/09/2021,N/E
192,18/09/2021,N/E
193,17/09/2021,19.9853
194,16/09/2021,N/E
195,15/09/2021,19.9003
196,14/09/2021,19.9035
197,13/09/2021,19.8677
198,12/09/2021,N/E
199,11/09/2021,N/E
200,10/09/2021,19.8717
201,09/09/2021,19.9318
202,08/09/2021,19.9383
203,07/09/2021,19.9440
204,06/09/2021,19.8878
205,05/09/2021,N/E
206,04/09/2021,N/E
207,03/09/2021,19.8992
208,02/09/2021,19.9703
209,01/09/2021,19.9615
210,31/08/2021,20.0605
211,30/08/2021,20.1403
212,29/08/2021,N/E
213,28/08/2021,N/E
214,27/08/2021,20.2293
215,26/08/2021,20.3522
216,25/08/2021,20.2933
217,24/08/2021,20.2967
218,23/08/2021,20.3907
219,22/08/2021,N/E
220,21/08/2021,N/E
221,20/08/2021,20.4020
222,19/08/2021,20.1175
223,18/08/2021,20.0107
224,17/08/2021,19.9912
225,16/08/2021,19.8863
226,15/08/2021,N/E
227,14/08/2021,N/E
228,13/08/2021,19.8603
229,12/08/2021,19.8907
230,11/08/2021,19.9530
231,10/08/2021,20.1038
232,09/08/2021,20.0648
233,08/08/2021,N/E
234,07/08/2021,N/E
235,06/08/2021,20.0037
236,05/08/2021,19.9293
237,04/08/2021,19.9547
238,03/08/2021,19.8920
239,02/08/2021,19.8520
240,01/08/2021,N/E
241,31/07/2021,N/E
242,30/07/2021,19.8455
243,29/07/2021,19.8448
244,28/07/2021,19.9535
245,27/07/2021,19.9770
246,26/07/2021,20.0245
247,25/07/2021,N/E
248,24/07/2021,N/E
249,23/07/2021,20.0238
250,22/07/2021,20.1812
251,21/07/2021,20.1907
252,20/07/2021,20.1348
253,19/07/2021,20.0000
254,18/07/2021,N/E
255,17/07/2021,N/E
256,16/07/2021,19.8537
257,15/07/2021,19.9412
258,14/07/2021,19.8992
259,13/07/2021,19.9988
260,12/07/2021,19.8577
261,11/07/2021,N/E
262,10/07/2021,N/E
263,09/07/2021,19.8800
264,08/07/2021,20.0070
265,07/07/2021,19.9915
266,06/07/2021,19.9658
267,05/07/2021,19.8532
268,04/07/2021,N/E
269,03/07/2021,N/E
270,02/07/2021,19.8817
271,01/07/2021,20.0368
272,30/06/2021,19.9062
273,29/06/2021,19.8157
274,28/06/2021,19.8027
275,27/06/2021,N/E
276,26/06/2021,N/E
277,25/06/2021,19.7930
278,24/06/2021,20.0483
279,23/06/2021,20.2505
280,22/06/2021,20.5712
281,21/06/2021,20.6000
282,20/06/2021,N/E
283,19/06/2021,N/E
284,18/06/2021,20.7002
285,17/06/2021,20.4292
286,16/06/2021,20.0588
287,15/06/2021,20.1235
288,14/06/2021,19.9065
289,13/06/2021,N/E
290,12/06/2021,N/E
291,11/06/2021,19.8823
292,10/06/2021,19.7002
293,09/06/2021,19.6897
294,08/06/2021,19.7728
295,07/06/2021,19.7970
296,06/06/2021,N/E
297,05/06/2021,N/E
298,04/06/2021,19.9328
299,03/06/2021,20.0605
300,02/06/2021,19.9277
301,01/06/2021,19.8927
302,31/05/2021,19.9213
303,30/05/2021,N/E
304,29/05/2021,N/E
305,28/05/2021,19.9442
306,27/05/2021,19.9487
307,26/05/2021,19.8783
308,25/05/2021,19.8903
309,24/05/2021,19.8720
310,23/05/2021,N/E
311,22/05/2021,N/E
312,21/05/2021,19.9510
313,20/05/2021,19.8810
314,19/05/2021,19.8143
315,18/05/2021,19.8313
316,17/05/2021,19.8028
317,16/05/2021,N/E
318,15/05/2021,N/E
319,14/05/2021,19.8487
320,13/05/2021,20.0495
321,12/05/2021,20.0940
322,11/05/2021,19.8848
323,10/05/2021,19.8860
324,09/05/2021,N/E
325,08/05/2021,N/E
326,07/05/2021,19.9223
327,06/05/2021,20.1838
328,05/05/2021,20.2077
329,04/05/2021,20.2235
330,03/05/2021,20.1902
331,02/05/2021,N/E
332,01/05/2021,N/E
333,30/04/2021,20.1822
334,29/04/2021,20.0978
335,28/04/2021,19.9712
336,27/04/2021,19.9785
337,26/04/2021,19.8362
338,25/04/2021,N/E
339,24/04/2021,N/E
340,23/04/2021,19.8695
341,22/04/2021,19.8865
342,21/04/2021,19.8740
343,20/04/2021,19.8877
344,19/04/2021,19.8145
345,18/04/2021,N/E
346,17/04/2021,N/E
347,16/04/2021,19.9158
348,15/04/2021,19.9270
349,14/04/2021,20.0583
350,13/04/2021,20.0735
351,12/04/2021,20.0950
